rank,track,artist,week,month,day,year,season,time_since_covid,covid_period,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
43,Lucid Dreams,Juice WRLD,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.511,0.566,0.566,-7.23,minor,0.2,0.349,0,0.34,0.218,83.903,239836,4
44,Talk,Khalid,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.523,0.606,0.606,-4.754,minor,0.0301,0.512,0,0.106,0.065,145.837,217867,4
45,I Like It,"Cardi B, Bad Bunny & J Balvin",2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.816,0.726,0.726,-3.998,minor,0.129,0.099,0,0.372,0.65,136.048,253390,4
46,Be Alright,Dean Lewis,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.553,0.586,0.586,-6.319,major,0.0362,0.697,0,0.0813,0.443,126.684,196373,4
47,Look Back At It,A Boogie Wit da Hoodie,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.791,0.587,0.587,-5.075,minor,0.0413,0.407,0,0.148,0.536,96.057,179449,4
48,Make Up,Ariana Grande,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.671,0.714,0.714,-5.373,major,0.21,0.0844,1.48e-6,0.0568,0.477,105.137,140693,3
49,Baby Shark,Pinkfong,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.829,0.886,0.886,-1.746,major,0.112,0.259,0,0.0559,0.777,115.056,80927,4
50,Envy Me,Calboy,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.74,0.488,0.488,-7.664,minor,0.27,0.234,0,0.241,0.584,149.042,120133,4
51,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.581,0.662,0.662,-5.239,major,0.303,0.0153,0,0.111,0.434,93.023,189487,4
52,This Is It,Scotty McCreery,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.579,0.511,0.511,-6.788,major,0.0293,0.254,0,0.099,0.594,78.003,230973,4
53,Backin It Up,Pardison Fontaine Featuring Cardi B,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.796,0.68,0.68,-4.853,minor,0.353,0.0886,0,0.268,0.565,164.932,190466,4
54,Twerk,City Girls Featuring Cardi B,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.823,0.443,0.443,-8.539,major,0.329,0.0768,0,0.156,0.389,140.048,193515,4
55,Girl Like You,Jason Aldean,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.543,0.88,0.88,-4.204,minor,0.0365,0.035,2.27e-4,0.304,0.483,144.057,193067,4
56,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.51,0.846,0.846,-4.595,major,0.0461,0.0101,0,0.208,0.475,139.927,226733,4
57,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.575,0.571,0.571,-7.906,major,0.0439,0.0558,0,0.0912,0.449,105.049,197947,4
58,Lost In The Fire,Gesaffelstein & The Weeknd,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.658,0.671,0.671,-12.21,major,0.0363,0.0933,9.27e-4,0.115,0.166,100.966,202093,4
59,Murder On My Mind,YNW Melly,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.759,0.73,0.73,-7.985,minor,0.0516,0.145,3.06e-6,0.11,0.74,115.007,268434,4
60,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.601,0.794,0.794,-5.844,minor,0.0671,0.00987,1.36e-6,0.388,0.244,114.066,217467,4
61,Pure Water,Mustard & Migos,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.682,0.559,0.559,-5.545,major,0.127,0.174,0,0.344,0.137,202.015,192471,4
62,Take It From Me,Jordan Davis,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.592,0.891,0.891,-3.144,major,0.0512,0.0267,0,0.352,0.674,99.983,174255,4
63,Undecided,Chris Brown,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.407,0.612,0.612,-4.387,minor,0.13,0.288,0,0.198,0.488,96.943,185000,4
64,What Makes You Country,Luke Bryan,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.515,0.948,0.948,-1.721,major,0.0438,0.0106,0,0.134,0.752,159.983,235266,4
65,Armed And Dangerous,Juice WRLD,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.736,0.67,0.67,-6.702,major,0.311,0.186,0,0.114,0.845,130.032,169999,4
66,Millionaire,Chris Stapleton,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.616,0.474,0.474,-9.608,major,0.0266,0.192,0.00762,0.0989,0.493,142.689,210133,4
67,Pure Cocaine,Lil Baby,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.964,0.487,0.487,-6.071,minor,0.421,0.00127,6.57e-6,0.115,0.107,127.05,154024,4
68,Close Friends,Lil Baby,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.676,0.578,0.578,-4.669,minor,0.375,0.0509,0,0.0796,0.698,158.896,203881,4
69,Sixteen,Thomas Rhett,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.669,0.801,0.801,-5.445,major,0.136,0.268,0,0.0594,0.541,109.919,201072,4
70,Love Someone,Lukas Graham,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.55,0.415,0.415,-6.557,minor,0.052,0.161,0,0.108,0.274,172.065,205463,4
71,Calling My Spirit,Kodak Black,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.91,0.366,0.366,-9.954,major,0.0941,0.0996,0,0.261,0.74,119.985,152000,4
72,Put A Date On It,Yo Gotti Featuring Lil Baby,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.835,0.659,0.659,-5.696,major,0.31,0.0123,0,0.372,0.579,129.93,195257,4
73,Uproar,Lil Wayne,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.743,0.87,0.87,-2.188,major,0.212,0.0595,0,0.299,0.884,99.079,194184,4
74,Ella Quiere Beber,Anuel AA & Romeo Santos,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.75,0.665,0.665,-3.083,major,0.124,0.265,0,0.0515,0.697,95.239,219357,4
75,Lovely,Billie Eilish & Khalid,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.351,0.296,0.296,-10.109,minor,0.0333,0.934,0,0.095,0.12,115.284,200186,4
76,Burning Man,Dierks Bentley Featuring Brothers Osborne,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.609,0.807,0.807,-7.221,major,0.0972,0.00403,5.42e-6,0.0926,0.492,119.073,238493,4
77,You,Jacquees,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.642,0.374,0.374,-9.386,major,0.0545,0.786,0,0.0906,0.0799,124.099,169266,4
78,When The Partys Over,Billie Eilish,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.367,0.111,0.111,-14.084,major,0.0972,0.978,3.97e-5,0.0897,0.198,82.642,196077,4
79,Down To The Honkytonk,Jake Owen,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.634,0.808,0.808,-4.12,major,0.0517,0.192,0,0.0898,0.937,82.016,186867,4
80,Secreto,Anuel AA & Karol G,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.807,0.803,0.803,-4.156,major,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4
81,Shot Clock,Ella Mai,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.512,0.512,0.512,-6.008,minor,0.285,0.654,0,0.148,0.434,95.11,201609,1
82,Body,Loud Luxury Featuring Brando,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.914,0.732,0.732,-6.1,minor,0.241,0.0166,0,0.107,0.469,94.066,171067,4
83,Good Girl,Dustin Lynch,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.711,0.696,0.696,-5.05,major,0.0869,0.16,0,0.17,0.694,80.512,189533,4
84,Make It Sweet,Old Dominion,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.424,0.837,0.837,-4.453,major,0.0472,0.0373,0,0.0665,0.554,180.175,187000,4
85,Burn Out,Midland,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.671,0.724,0.724,-5.61,major,0.0244,0.292,0,0.231,0.801,99.976,188613,4
86,Ruin My Life,Zara Larsson,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.665,0.699,0.699,-5.265,major,0.0578,0.423,0,0.0969,0.585,124.896,190932,4
87,Love Wins,Carrie Underwood,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.523,0.865,0.865,-4.697,major,0.0989,0.0112,0,0.153,0.325,135.115,228640,4
88,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.703,0.723,0.723,-5.45,minor,0.0412,0.0302,2.06e-6,0.126,0.288,104.969,198903,4
89,Nights Like This,Kehlani Featuring Ty Dolla $ign,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.61,0.725,0.725,-5.131,major,0.15,0.367,0,0.154,0.291,146.163,201788,4
90,Yosemite,Travis Scott,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.785,0.554,0.554,-6.571,major,0.0409,0.283,3.4e-6,0.116,0.144,128.047,150043,4
91,Miss Me More,Kelsea Ballerini,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.643,0.72,0.72,-7.146,major,0.0527,0.014,0,0.0834,0.491,96.028,192840,4
92,Here Tonight,Brett Young,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.517,0.776,0.776,-5.271,major,0.0362,0.0144,0,0.113,0.448,96.002,216533,4
93,Mixed Personalities,YNW Melly Featuring Kanye West,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.661,0.44,0.44,-9.104,major,0.0803,0.457,0,0.128,0.352,149.937,230400,4
94,Let Me Down Slowly,Alec Benjamin + Alessia Cara,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.652,0.557,0.557,-5.714,minor,0.0318,0.74,0,0.124,0.483,150.073,169354,4
95,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.737,0.86,0.86,-2.652,minor,0.0593,0.11,1.94e-6,0.0574,0.656,93.989,193227,4
96,Talk To Me,Tory Lanez & Rich The Kid,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.626,0.323,0.323,-9.607,major,0.0339,0.667,0,0.0605,0.234,130.082,277327,4
97,Splashin,Rich The Kid,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.942,0.382,0.382,-8.099,major,0.564,0.00192,0,0.092,0.379,100.017,177864,4
98,Rainbow,Kacey Musgraves,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.581,0.197,0.197,-7.697,major,0.0329,0.88,0,0.107,0.349,130.367,214293,4
99,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.736,0.622,0.622,-4.653,minor,0.133,0.0235,0,0.151,0.506,191.971,192779,4
100,On My Way To You,Cody Johnson,2019-02-23,Feb,23,2019,Winter,-331,pre_covid,0.443,0.538,0.538,-5.477,major,0.0309,0.327,4.61e-5,0.0866,0.245,157.97,213307,4
1,7 Rings,Ariana Grande,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.778,0.317,0.317,-10.732,minor,0.334,0.592,0,0.0881,0.327,140.048,178627,4
2,Without Me,Halsey,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.752,0.488,0.488,-7.05,major,0.0705,0.297,9.11e-6,0.0936,0.533,136.041,201661,4
3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.76,0.479,0.479,-5.574,major,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
4,"Thank U, Next",Ariana Grande,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.717,0.653,0.653,-5.634,major,0.0658,0.229,0,0.101,0.412,106.966,207320,4
5,Please Me,Cardi B & Bruno Mars,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.747,0.57,0.57,-6.711,major,0.081,0.0642,0,0.0832,0.65,133.992,200890,4
6,Happier,Marshmello & Bastille,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.687,0.792,0.792,-2.749,major,0.0452,0.191,0,0.167,0.671,100.015,214290,4
7,Sicko Mode,Travis Scott,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.834,0.73,0.73,-3.714,major,0.222,0.00513,0,0.124,0.446,155.008,312820,4
8,"Break Up With Your Girlfriend, Im Bored",Ariana Grande,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.726,0.554,0.554,-5.29,minor,0.0917,0.0421,0,0.106,0.335,169.999,190440,4
9,High Hopes,Panic! At The Disco,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.579,0.904,0.904,-2.729,major,0.0618,0.193,0,0.064,0.681,82.014,190947,4
10,Wow.,Post Malone,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.829,0.539,0.539,-7.359,minor,0.208,0.136,1.78e-6,0.103,0.388,99.96,149547,4
11,Middle Child,J. Cole,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.837,0.364,0.364,-11.713,major,0.276,0.149,0,0.271,0.463,123.984,213594,4
12,Eastside,"benny blanco, Halsey & Khalid",2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.56,0.68,0.68,-7.648,minor,0.321,0.555,0,0.116,0.319,89.391,173800,4
13,Thotiana,Blueface,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.906,0.382,0.382,-12.89,minor,0.269,0.18,0,0.113,0.391,104.025,129264,4
14,Murder On My Mind,YNW Melly,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.759,0.73,0.73,-7.985,minor,0.0516,0.145,3.06e-6,0.11,0.74,115.007,268434,4
15,Going Bad,Meek Mill Featuring Drake,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.889,0.496,0.496,-6.365,minor,0.0905,0.259,0,0.252,0.544,86.003,180522,4
16,Money,Cardi B,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.716,0.531,0.531,-7.355,major,0.122,0.0703,0,0.224,0.344,71.994,386907,4
17,A Lot,21 Savage,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.837,0.636,0.636,-7.643,major,0.086,0.0395,0.00125,0.342,0.274,145.972,288624,4
18,Drip Too Hard,Lil Baby & Gunna,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.897,0.662,0.662,-6.903,minor,0.292,0.0852,0,0.534,0.389,112.511,145543,4
19,Girls Like You,Maroon 5 Featuring Cardi B,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.611,0.462,0.462,-7.054,major,0.0646,0.558,1.01e-6,0.131,0.377,59.635,215230,4
20,Better,Khalid,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.552,0.225,0.225,-11.501,major,0.0477,0.827,0,0.111,0.67,138.002,219573,4
21,Shallow,Lady Gaga & Bradley Cooper,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.572,0.385,0.385,-6.362,major,0.0308,0.371,0,0.231,0.323,95.799,215733,4
22,ZEZE,Kodak Black Featuring Travis Scott & Offset,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.861,0.603,0.603,-5.788,minor,0.176,0.0521,0,0.0924,0.504,98.043,228760,4
23,Beautiful Crazy,Luke Combs,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.551,0.402,0.402,-7.431,major,0.0262,0.676,0,0.0928,0.382,103.313,193200,4
24,MIA,Bad Bunny Featuring Drake,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.817,0.539,0.539,-6.349,minor,0.0621,0.0141,4.96e-4,0.099,0.158,97.062,210368,4
25,Dancing With A Stranger,Sam Smith & Normani,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.741,0.52,0.52,-7.513,major,0.0656,0.45,1.97e-6,0.222,0.347,102.998,171030,4
26,Youngblood,5 Seconds Of Summer,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.596,0.854,0.854,-5.114,minor,0.463,0.0169,0,0.124,0.152,120.274,203418,4
27,Robbery,Juice WRLD,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.685,0.692,0.692,-5.122,major,0.0457,0.328,0,0.153,0.578,159.966,240051,5
28,Better Now,Post Malone,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.68,0.578,0.578,-5.804,major,0.04,0.331,0,0.135,0.341,145.038,231267,4
29,Sweet But Psycho,Ava Max,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.72,0.706,0.706,-4.719,major,0.0473,0.0684,0,0.166,0.62,133.002,187436,4
30,Be Alright,Dean Lewis,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.553,0.586,0.586,-6.319,major,0.0362,0.697,0,0.0813,0.443,126.684,196373,4
31,Tequila,Dan + Shay,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.712,0.556,0.556,-7.214,minor,0.0531,0.084,5.04e-5,0.527,0.22,90.494,193293,4
32,Bury A Friend,Billie Eilish,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.905,0.389,0.389,-14.505,major,0.332,0.74,0.162,0.106,0.196,120.046,193143,4
33,I Like It,"Cardi B, Bad Bunny & J Balvin",2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.816,0.726,0.726,-3.998,minor,0.129,0.099,0,0.372,0.65,136.048,253390,4
34,You Say,Lauren Daigle,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.494,0.632,0.632,-6.89,major,0.0342,0.682,0,0.0869,0.0797,147.873,274693,4
35,Leave Me Alone,Flipp Dinero,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.792,0.743,0.743,-2.806,major,0.0851,0.107,0,0.183,0.742,150.024,195637,4
36,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.8,0.578,0.578,-5.144,minor,0.0485,0.00381,0,0.359,0.367,143.01,204665,4
37,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.575,0.758,0.758,-5.029,minor,0.0618,0.0954,0,0.394,0.493,144.107,182623,4
38,Baby Shark,Pinkfong,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.829,0.886,0.886,-1.746,major,0.112,0.259,0,0.0559,0.777,115.056,80927,4
39,Look Back At It,A Boogie Wit da Hoodie,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.791,0.587,0.587,-5.075,minor,0.0413,0.407,0,0.148,0.536,96.057,179449,4
40,Mo Bamba,Sheck Wes,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.729,0.625,0.625,-5.266,major,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,4
41,Lucid Dreams,Juice WRLD,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.511,0.566,0.566,-7.23,minor,0.2,0.349,0,0.34,0.218,83.903,239836,4
42,Envy Me,Calboy,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.74,0.488,0.488,-7.664,minor,0.27,0.234,0,0.241,0.584,149.042,120133,4
43,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.581,0.662,0.662,-5.239,major,0.303,0.0153,0,0.111,0.434,93.023,189487,4
44,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.842,0.801,0.801,-4.167,minor,0.228,0.157,4.82e-6,0.0642,0.617,95.881,212500,4
45,This Is It,Scotty McCreery,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.579,0.511,0.511,-6.788,major,0.0293,0.254,0,0.099,0.594,78.003,230973,4
46,NASA,Ariana Grande,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.747,0.458,0.458,-6.891,major,0.303,0.451,0,0.252,0.47,75.029,182000,4
47,Backin It Up,Pardison Fontaine Featuring Cardi B,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.796,0.68,0.68,-4.853,minor,0.353,0.0886,0,0.268,0.565,164.932,190466,4
48,Needy,Ariana Grande,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.647,0.309,0.309,-7.948,minor,0.0366,0.78,7.41e-6,0.202,0.195,87.045,171573,4
49,Red Room,Offset,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.936,0.559,0.559,-8.587,minor,0.157,0.479,0,0.128,0.527,112.347,241440,4
50,Talk,Khalid,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.523,0.606,0.606,-4.754,minor,0.0301,0.512,0,0.106,0.065,145.837,217867,4
51,Girl Like You,Jason Aldean,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.543,0.88,0.88,-4.204,minor,0.0365,0.035,2.27e-4,0.304,0.483,144.057,193067,4
52,Twerk,City Girls Featuring Cardi B,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.823,0.443,0.443,-8.539,major,0.329,0.0768,0,0.156,0.389,140.048,193515,4
53,Bloodline,Ariana Grande,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.758,0.665,0.665,-5.188,minor,0.0774,0.0815,1.57e-4,0.216,0.643,151.976,216893,4
54,What Makes You Country,Luke Bryan,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.515,0.948,0.948,-1.721,major,0.0438,0.0106,0,0.134,0.752,159.983,235266,4
55,Bad Idea,Ariana Grande,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.511,0.806,0.806,-6.093,major,0.0481,0.03,0.0465,0.252,0.41,162.04,219638,4
56,Pure Water,Mustard & Migos,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.682,0.559,0.559,-5.545,major,0.127,0.174,0,0.344,0.137,202.015,192471,4
57,Fake Smile,Ariana Grande,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.45,0.619,0.619,-7.412,major,0.372,0.329,0,0.319,0.427,83.3,208880,4
58,Imagine,Ariana Grande,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.729,0.475,0.475,-4.985,major,0.0364,0.378,0,0.12,0.371,62.52,212267,3
59,Take It From Me,Jordan Davis,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.592,0.891,0.891,-3.144,major,0.0512,0.0267,0,0.352,0.674,99.983,174255,4
60,Mixed Personalities,YNW Melly Featuring Kanye West,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.661,0.44,0.44,-9.104,major,0.0803,0.457,0,0.128,0.352,149.937,230400,4
61,Lost In The Fire,Gesaffelstein & The Weeknd,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.658,0.671,0.671,-12.21,major,0.0363,0.0933,9.27e-4,0.115,0.166,100.966,202093,4
62,Ghostin,Ariana Grande,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.606,0.618,0.618,-5.1,major,0.0258,0.325,0.0019,0.108,0.237,92.061,285987,4
63,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.601,0.794,0.794,-5.844,minor,0.0671,0.00987,1.36e-6,0.388,0.244,114.066,217467,4
64,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.575,0.571,0.571,-7.906,major,0.0439,0.0558,0,0.0912,0.449,105.049,197947,4
65,Undecided,Chris Brown,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.407,0.612,0.612,-4.387,minor,0.13,0.288,0,0.198,0.488,96.943,185000,4
66,Millionaire,Chris Stapleton,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.616,0.474,0.474,-9.608,major,0.0266,0.192,0.00762,0.0989,0.493,142.689,210133,4
67,Here Tonight,Brett Young,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.517,0.776,0.776,-5.271,major,0.0362,0.0144,0,0.113,0.448,96.002,216533,4
68,Calling My Spirit,Kodak Black,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.91,0.366,0.366,-9.954,major,0.0941,0.0996,0,0.261,0.74,119.985,152000,4
69,Sixteen,Thomas Rhett,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.669,0.801,0.801,-5.445,major,0.136,0.268,0,0.0594,0.541,109.919,201072,4
70,Love Someone,Lukas Graham,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.55,0.415,0.415,-6.557,minor,0.052,0.161,0,0.108,0.274,172.065,205463,4
71,Armed And Dangerous,Juice WRLD,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.736,0.67,0.67,-6.702,major,0.311,0.186,0,0.114,0.845,130.032,169999,4
72,Nights Like This,Kehlani Featuring Ty Dolla $ign,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.61,0.725,0.725,-5.131,major,0.15,0.367,0,0.154,0.291,146.163,201788,4
73,Close Friends,Lil Baby,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.676,0.578,0.578,-4.669,minor,0.375,0.0509,0,0.0796,0.698,158.896,203881,4
74,In My Head,Ariana Grande,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.662,0.6,0.6,-6.402,major,0.0703,0.173,1.37e-4,0.109,0.331,134.979,222947,4
75,Put A Date On It,Yo Gotti Featuring Lil Baby,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.835,0.659,0.659,-5.696,major,0.31,0.0123,0,0.372,0.579,129.93,195257,4
76,Pure Cocaine,Lil Baby,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.964,0.487,0.487,-6.071,minor,0.421,0.00127,6.57e-6,0.115,0.107,127.05,154024,4
77,Down To The Honkytonk,Jake Owen,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.634,0.808,0.808,-4.12,major,0.0517,0.192,0,0.0898,0.937,82.016,186867,4
78,Ella Quiere Beber,Anuel AA & Romeo Santos,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.75,0.665,0.665,-3.083,major,0.124,0.265,0,0.0515,0.697,95.239,219357,4
79,Lovely,Billie Eilish & Khalid,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.351,0.296,0.296,-10.109,minor,0.0333,0.934,0,0.095,0.12,115.284,200186,4
80,Talk You Out Of It,Florida Georgia Line,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.651,0.708,0.708,-4.791,major,0.0376,0.582,0,0.0796,0.558,119.964,202920,4
81,Miss Me More,Kelsea Ballerini,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.643,0.72,0.72,-7.146,major,0.0527,0.014,0,0.0834,0.491,96.028,192840,4
82,Body,Loud Luxury Featuring Brando,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.914,0.732,0.732,-6.1,minor,0.241,0.0166,0,0.107,0.469,94.066,171067,4
83,Burn Out,Midland,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.671,0.724,0.724,-5.61,major,0.0244,0.292,0,0.231,0.801,99.976,188613,4
84,Eyes On You,Chase Rice,2019-03-02,Mar,2,2019,Winter,-324,pre_covid,0.606,0.652,0.652,-6.982,major,0.0281,0.323,0,0.201,0.476,97.155,182493,4
